Team,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
TOR,37,1/8/17,,HOU,L,122,129,117,123.7,104.3,0.385,0.321,0.669,50,45.2,6.7,5.9,,0.609,15.7,12.1,0.346,,0.579,12.8,77.8,0.292
TOR,38,1/10/17,,BOS,W,114,106,116.7,108.5,97.7,0.31,0.253,0.576,60.2,41.5,9.2,12.1,,0.529,14.7,38.6,0.253,,0.524,13,84.6,0.2
TOR,39,1/13/17,,BRK,W,132,113,132.5,113.4,99.6,0.216,0.289,0.621,58.3,40.4,7,18,,0.593,7,29.5,0.175,,0.564,10.4,90,0.186
TOR,40,1/15/17,,NYK,W,116,101,121.1,105.5,95.8,0.258,0.247,0.585,50.6,47.7,9.4,7.3,,0.539,9.2,25,0.225,,0.488,12.7,74.4,0.226
TOR,41,1/17/17,@,BRK,W,119,109,122.4,112.1,97.2,0.174,0.207,0.601,51.8,37.5,8.2,9.5,,0.576,8.3,25,0.141,,0.489,11.5,75.6,0.247
TOR,42,1/18/17,@,PHI,L,89,94,93.8,99.1,94.9,0.267,0.279,0.463,48.3,50,10.5,4.4,,0.43,8.6,22.6,0.174,,0.507,20.9,86.1,0.348
TOR,43,1/20/17,@,CHO,L,78,113,84.6,122.6,92.2,0.163,0.349,0.423,39.3,34.5,7.6,9.1,,0.378,11.5,16.7,0.151,,0.575,13.3,69.4,0.263
TOR,44,1/22/17,,PHO,L,103,115,105.9,118.2,97.3,0.422,0.325,0.523,43.8,57.6,9.3,14,,0.44,8.4,15.6,0.361,,0.563,14.1,80,0.329
TOR,45,1/24/17,,SAS,L,106,108,106.7,108.8,99.3,0.333,0.298,0.55,56.8,26.3,9.1,13.1,,0.488,11.9,25.6,0.286,,0.488,10.8,85.7,0.294
TOR,46,1/25/17,@,MEM,L,99,101,110.2,112.4,89.8,0.207,0.37,0.493,50,41,6.7,7.1,,0.478,7.4,26.5,0.12,,0.526,9.2,78,0.244
TOR,47,1/27/17,,MIL,W,102,86,108.3,91.3,94.2,0.274,0.298,0.542,52.2,54.1,9.6,19.3,,0.5,12.9,27.9,0.214,,0.431,17.3,74.5,0.213
TOR,48,1/29/17,,ORL,L,113,114,119.7,120.8,94.4,0.456,0.354,0.596,52.6,52.8,8.5,5.4,,0.532,10.4,23.1,0.367,,0.595,11.7,83.8,0.253
